,tag_name,html,file_ref
0,pl-question-panel,"<pl-question-panel>
<p> Show that the acceleration of any object down a frictionless incline that makes an angle \( \theta \) with the horizontal is \( a = g \sin \theta \). (Note that this acceleration is independent of mass.) </p>
</pl-question-panel>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\AccelerationDownFrictionlessIncline\question.html
1,pl-solution-panel,"<pl-solution-panel>
<pl-hint data-type=""text"" level=""1"">
        To show that the acceleration of an object down an incline is \( a = g(\sin \theta - \mu_k \cos \theta) \), we start by analyzing the forces acting on the object.
    </pl-hint>
<pl-hint data-type=""text"" level=""2"">
        The forces acting on the object are:
        <ul>
<li>The gravitational force \( \mathbf{F}_g = mg \)</li>
<li>The normal force \( \mathbf{N} \)</li>
<li>The kinetic friction force \( \mathbf{f}_k = \mu_k \mathbf{N} \)</li>
</ul>
</pl-hint>
<pl-hint data-type=""text"" level=""3"">
        We decompose the gravitational force into components parallel and perpendicular to the incline:
        <ul>
<li>Parallel component: \( F_{\parallel} = mg \sin \theta \)</li>
<li>Perpendicular component: \( F_{\perp} = mg \cos \theta \)</li>
</ul>
</pl-hint>
<pl-hint data-type=""text"" level=""4"">
        The normal force \( \mathbf{N} \) is equal in magnitude and opposite in direction to the perpendicular component of the gravitational force:
        \[
        N = mg \cos \theta
        \]
    </pl-hint>
<pl-hint data-type=""text"" level=""5"">
        The kinetic friction force \( \mathbf{f}_k \) is given by:
        \[
        f_k = \mu_k N = \mu_k (mg \cos \theta)
        \]
    </pl-hint>
<pl-hint data-type=""text"" level=""6"">
        The net force \( \mathbf{F}_{\text{net}} \) acting on the object along the incline is the difference between the parallel component of the gravitational force and the kinetic friction force:
        \[
        F_{\text{net}} = F_{\parallel} - f_k = mg \sin \theta - \mu_k (mg \cos \theta)
        \]
    </pl-hint>
<pl-hint data-type=""text"" level=""7"">
        Using Newton's second law \( F = ma \), we can express the net force as:
        \[
        ma = mg \sin \theta - \mu_k (mg \cos \theta)
        \]
    </pl-hint>
<pl-hint data-type=""text"" level=""8"">
        Dividing both sides of the equation by \( m \) to solve for the acceleration \( a \):
        \[
        a = g (\sin \theta - \mu_k \cos \theta)
        \]
    </pl-hint>
<pl-hint data-type=""text"" level=""9"">
        This shows that the acceleration \( a \) is independent of the mass \( m \) of the object.
    </pl-hint>
<pl-hint data-type=""text"" level=""10"">
        When the friction coefficient \( \mu_k \) is zero, the expression reduces to:
        \[
        a = g \sin \theta
        \]
        which is the acceleration of an object down a frictionless incline.
    </pl-hint>
</pl-solution-panel>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\AccelerationDownInclineWithFriction\solutions.html
2,pl-hint,"<pl-hint data-type=""text"" level=""1"">
        To show that the acceleration of an object down an incline is \( a = g(\sin \theta - \mu_k \cos \theta) \), we start by analyzing the forces acting on the object.
    </pl-hint>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\AccelerationDownInclineWithFriction\solutions.html
3,pl-number-input,"<pl-number-input answers-name=""gMoon"" comparison=""sigfig"" digits=""3"" label=""g (Moon) (in {{params.unitsAccel}})""></pl-number-input>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\AccelerationDueToGravityOnMoonAndMars\question.html
4,pl-multiple-choice,"<pl-multiple-choice answers-name=""actionAtDistance"" inline=""true"" weight=""1"">
<pl-answer correct=""true"">The ultimate determinant of the truth in science is empirical evidence. Action at a distance was ultimately accepted because it was supported by experimental observations and mathematical consistency.</pl-answer>
<pl-answer correct=""false"">The ultimate determinant of the truth in science is logical consistency. Action at a distance was ultimately accepted because it was logically consistent with existing theories.</pl-answer>
<pl-answer correct=""false"">The ultimate determinant of the truth in science is philosophical reasoning. Action at a distance was ultimately accepted because it aligned with philosophical principles.</pl-answer>
<pl-answer correct=""false"">The ultimate determinant of the truth in science is consensus among scientists. Action at a distance was ultimately accepted because most scientists agreed on it.</pl-answer>
</pl-multiple-choice>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\AcceptanceOfActionAtADistanceInScience\question.html
5,pl-answer,"<pl-answer correct=""true"">The ultimate determinant of the truth in science is empirical evidence. Action at a distance was ultimately accepted because it was supported by experimental observations and mathematical consistency.</pl-answer>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\AcceptanceOfActionAtADistanceInScience\question.html
6,pl-text-input,"<pl-text-input answers-name=""advantage"" label=""Advantage of using Doppler radar""></pl-text-input>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\AdvantageOfDopplerRadarOverConventionalRadar\question.html
7,pl-figure,"<pl-figure file-name=""wave_plot.png""></pl-figure>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\AnalysisOfStandingWaves\question.html
8,pl-input-panel,"<pl-input-panel>
<pl-input-field label=""Mass of the Moon (kg)"" placeholder=""Enter mass of the Moon"" variable-name=""params.moon_mass""></pl-input-field>
<pl-input-field label=""Orbital radius (m)"" placeholder=""Enter orbital radius"" variable-name=""params.orbital_radius""></pl-input-field>
<pl-input-field label=""Orbital velocity (m/s)"" placeholder=""Enter orbital velocity"" variable-name=""params.orbital_velocity""></pl-input-field>
<pl-input-field label=""Radius of the Moon (m)"" placeholder=""Enter radius of the Moon"" variable-name=""params.moon_radius""></pl-input-field>
<pl-input-field label=""Rotational period (s)"" placeholder=""Enter rotational period"" variable-name=""params.rotational_period""></pl-input-field>
</pl-input-panel>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\AngularMomentumOfTheMoon\question.html
9,pl-input-field,"<pl-input-field label=""Mass of the Moon (kg)"" placeholder=""Enter mass of the Moon"" variable-name=""params.moon_mass""></pl-input-field>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\AngularMomentumOfTheMoon\question.html
10,pl-computation-panel,"<pl-computation-panel>
<pl-computation>
<pl-formula name=""orbital_angular_momentum"">
      L_orbit = params.moon_mass * params.orbital_radius * params.orbital_velocity
    </pl-formula>
<pl-formula name=""rotational_angular_momentum"">
      I = (2/5) * params.moon_mass * (params.moon_radius^2)
      omega = (2 * Math.PI) / params.rotational_period
      L_rotation = I * omega
    </pl-formula>
</pl-computation>
</pl-computation-panel>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\AngularMomentumOfTheMoon\question.html
11,pl-computation,"<pl-computation>
<pl-formula name=""orbital_angular_momentum"">
      L_orbit = params.moon_mass * params.orbital_radius * params.orbital_velocity
    </pl-formula>
<pl-formula name=""rotational_angular_momentum"">
      I = (2/5) * params.moon_mass * (params.moon_radius^2)
      omega = (2 * Math.PI) / params.rotational_period
      L_rotation = I * omega
    </pl-formula>
</pl-computation>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\AngularMomentumOfTheMoon\question.html
12,pl-formula,"<pl-formula name=""orbital_angular_momentum"">
      L_orbit = params.moon_mass * params.orbital_radius * params.orbital_velocity
    </pl-formula>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\AngularMomentumOfTheMoon\question.html
13,pl-output-panel,"<pl-output-panel>
<pl-output-field label=""Orbital Angular Momentum (kg·m²/s)"" variable-name=""orbital_angular_momentum""></pl-output-field>
<pl-output-field label=""Rotational Angular Momentum (kg·m²/s)"" variable-name=""rotational_angular_momentum""></pl-output-field>
</pl-output-panel>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\AngularMomentumOfTheMoon\question.html
14,pl-output-field,"<pl-output-field label=""Orbital Angular Momentum (kg·m²/s)"" variable-name=""orbital_angular_momentum""></pl-output-field>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\AngularMomentumOfTheMoon\question.html
15,pl-checkbox,"<pl-checkbox answers-name=""angularLinearMomentum"" inline=""true"" weight=""1"">
<pl-answer correct=""true"">When the center of mass is stationary but the body is rotating about it.</pl-answer>
<pl-answer correct=""false"">When the body is moving in a straight line without rotating.</pl-answer>
<pl-answer correct=""false"">When the body is at rest and not rotating.</pl-answer>
<pl-answer correct=""false"">When the body is accelerating linearly without any rotation.</pl-answer>
</pl-checkbox>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\AngularMomentumWithoutLinearMomentum\question.html
16,pl-choice,"<pl-choice correct=""true"">Yes</pl-choice>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\AngularVelocityAndTangentialSpeed\question.html
17,pl-plot,"<pl-plot>
<pl-plot-data color=""blue"" label=""a_c(t)"" x=""{{params.timeStart}}"" y=""{{params.timeEnd}}"">
<pl-plot-function>
<pl-math>\(a_c(t) = {{params.radius}} \cdot ({{params.omegaCoeff}} \cdot t)^2\)</pl-math>
</pl-plot-function>
</pl-plot-data>
<pl-plot-data color=""red"" label=""a_t(t)"" x=""{{params.timeStart}}"" y=""{{params.timeEnd}}"">
<pl-plot-function>
<pl-math>\(a_t(t) = {{params.radius}} \cdot {{params.omegaCoeff}}\)</pl-math>
</pl-plot-function>
</pl-plot-data>
</pl-plot>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\AngularVelocityOfAFlywheel\question.html
18,pl-plot-data,"<pl-plot-data color=""blue"" label=""a_c(t)"" x=""{{params.timeStart}}"" y=""{{params.timeEnd}}"">
<pl-plot-function>
<pl-math>\(a_c(t) = {{params.radius}} \cdot ({{params.omegaCoeff}} \cdot t)^2\)</pl-math>
</pl-plot-function>
</pl-plot-data>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\AngularVelocityOfAFlywheel\question.html
19,pl-plot-function,"<pl-plot-function>
<pl-math>\(a_c(t) = {{params.radius}} \cdot ({{params.omegaCoeff}} \cdot t)^2\)</pl-math>
</pl-plot-function>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\AngularVelocityOfAFlywheel\question.html
20,pl-math,<pl-math>\(a_c(t) = {{params.radius}} \cdot ({{params.omegaCoeff}} \cdot t)^2\)</pl-math>,C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\AngularVelocityOfAFlywheel\question.html
21,pl-number-input-fixed,"<pl-number-input-fixed answers-name=""area"" comparison=""sigfig"" correct-answer-fixed=""{{params.area}}"" digits=""3"" label=""Area (cm²)""></pl-number-input-fixed>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\AreaOfCircle\question.html
22,pl-mca-adaptive,"<pl-mca-adaptive>
<pl-checkbox answers-name=""assoc_law"" inline=""true"" weight=""1"">
<pl-answer choice-name=""opt0"" correct=""true""> $(a + b) + c = a + (b + c)$ </pl-answer>
<pl-answer choice-name=""opt1"" correct=""false""> $(a \times b) + c = a \times (b + c)$ </pl-answer>
<pl-answer choice-name=""opt2"" correct=""false""> $(a + b) \times c = a + (b \times c)$ </pl-answer>
<pl-answer choice-name=""opt3"" correct=""false""> $(a \times b) \times c = a + (b \times c)$ </pl-answer>
</pl-checkbox>
</pl-mca-adaptive>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\AssociativeLaw\question.html
23,pl-hhint,"<pl-hhint data-type=""text"" level=""2"">
        The initial momentum of the system is given by the momentum of the moving sled and the child. Since the second sled is stationary, its initial momentum is zero. The initial momentum \( p_{initial} \) is:
        \[
        p_{initial} = m_{sled} \times v_{initial} + m_{child} \times v_{initial}
        \]
        where \( m_{sled} \) is the mass of one sled, \( m_{child} \) is the mass of the child, and \( v_{initial} \) is the initial speed of the child and the sled.
    
<pl-hint data-type=""text"" level=""3"">
        After the collision, the two sleds lock together and move with a common speed \( v_{final} \). The total mass of the two sleds is \( 2 \times m_{sled} \). The final momentum \( p_{final} \) is:
        \[
        p_{final} = (2 \times m_{sled}) \times v_{final}
        \]
    </pl-hint>
<pl-hint data-type=""text"" level=""4"">
        By the conservation of momentum, we have:
        \[
        p_{initial} = p_{final}
        \]
        Substituting the expressions for \( p_{initial} \) and \( p_{final} \), we get:
        \[
        m_{sled} \times v_{initial} + m_{child} \times v_{initial} = (2 \times m_{sled}) \times v_{final}
        \]
    </pl-hint>
<pl-hint data-type=""text"" level=""5"">
        Since the sleds are identical, \( m_{sled} = m_{child} \). Therefore, the equation simplifies to:
        \[
        2 \times m_{sled} \times v_{initial} = 2 \times m_{sled} \times v_{final}
        \]
        Dividing both sides by \( 2 \times m_{sled} \), we get:
        \[
        v_{final} = v_{initial} / 2
        \]
    </pl-hint>
<pl-hint data-type=""text"" level=""6"">
        Substituting the given initial speed \( v_{initial} = {{params.v_initial}} \) {{params.unitsSpeed}}, we find the final speed of the two sleds:
        \[
        v_{final} = \frac{{{{params.v_initial}}}}{2} = {{correct_answers.v_final}} {{params.unitsSpeed}}
        \]
    </pl-hint>
</pl-hhint>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\ChildSleddingCollisionProblem\solutions.html
24,pl-matrix-latex,"<pl-matrix-latex digits=""{{params.nDigits}}"" params-name=""v""></pl-matrix-latex>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\ComponentFormOfAVectorInTwoDimensions\question.html
25,pl-quest,"<pl-quest>
<pl-quest-prompt>Sound</pl-quest-prompt>
<pl-text-input answers-name=""sound"" label=""Sound is:""></pl-text-input>
</pl-quest>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\DifferenceBetweenSoundAndHearing\question.html
26,pl-quest-prompt,<pl-quest-prompt>Sound</pl-quest-prompt>,C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\DifferenceBetweenSoundAndHearing\question.html
27,pl-string-input,"<pl-string-input answers-name=""dimension_m"" label=""Dimension of $m$""></pl-string-input>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\DimensionalAnalysisOfLinearEquation\question.html
28,pl-input-group,"<pl-input-group>
<pl-input label=""Magnitude of Electric Field (V/m)"" name=""magnitude"" placeholder=""400.0"" type=""number""></pl-input>
</pl-input-group>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\ElectricFieldVectorComponentsAndDirection\question.html
29,pl-input,"<pl-input label=""Magnitude of Electric Field (V/m)"" name=""magnitude"" placeholder=""400.0"" type=""number""></pl-input>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\ElectricFieldVectorComponentsAndDirection\question.html
30,pl-boolean-input,"<pl-boolean-input answers-name=""isEqual"" label=""Are the vectors equal?""></pl-boolean-input>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\EqualVectors\question.html
31,pl-matrix-input,"<pl-matrix-input answers-name=""B"" comparison=""sigfig"" digits=""{{params.sigfigs}}"" label=""$ \mathbf{B} =$""></pl-matrix-input>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\FindOrthogonalVectorWithSameMagnitude\question.html
32,pl-dropdown,"<pl-dropdown answers-name=""lowest_frequency"" label=""Select the pipe"" options=""A, B, C""></pl-dropdown>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\FundamentalFrequenciesInPipes\question.html
33,pl-formula-input,"<pl-formula-input answers-name=""impulse"" label=""Impulse (in {{params.unitsImpulse}})""></pl-formula-input>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\ImpulseExertedOnFallingBall\question.html
34,pl-radio,"<pl-radio answers-name=""ladder_slip"" inline=""true"" weight=""1"">
<pl-answer correct=""false""> Near the bottom </pl-answer>
<pl-answer correct=""true""> Near the top </pl-answer>
</pl-radio>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\LadderSlipLikelihood\question.html
35,pl-option,"<pl-option correct=""true"">Scalar</pl-option>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\OdometerScalarVsVector\question.html
36,pl-math-input,"<pl-math-input answers-name=""parabola_equation"" correct-answer=""x = ay^2 + by + c"" label=""Parabola Equation""></pl-math-input>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\ParabolaFromConicSections\question.html
37,pl-graph,"<pl-graph>
<pl-graph-line function=""5*t"" label=""Position function $x(t)$""></pl-graph-line>
<pl-graph-line function=""5"" label=""Velocity function $v(t)$""></pl-graph-line>
</pl-graph>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\PositionAndVelocityFunctions\question.html
38,pl-graph-line,"<pl-graph-line function=""5*t"" label=""Position function $x(t)$""></pl-graph-line>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\PositionAndVelocityFunctions\question.html
39,pl-textarea,"<pl-textarea answers-name=""potentialEnergyExplanation"" weight=""1""></pl-textarea>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\PotentialEnergyAnalysis\question.html
40,pl-file-upload,"<pl-file-upload answers-name=""plot_t0"" label=""Upload plot at $t = 0.00 \text{ s}$""></pl-file-upload>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\PulseWaveAnalysis\question.html
41,pl-answer-panel,"<pl-answer-panel>
<pl-input-answer answers-name=""standing_wave"" label=""Standing Wave Function"" placeholder=""Enter the wave function here""></pl-input-answer>
</pl-answer-panel>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\ResultingStandingWaveFromSuperposition\question.html
42,pl-input-answer,"<pl-input-answer answers-name=""standing_wave"" label=""Standing Wave Function"" placeholder=""Enter the wave function here""></pl-input-answer>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\ResultingStandingWaveFromSuperposition\question.html
43,pl-explanation,"<pl-explanation>
<p>Temperature is a scalar quantity because it only has magnitude and no direction.</p>
</pl-explanation>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\TemperatureVectorOrScalar\question.html
44,pl-open-ended,"<pl-open-ended answers-name=""equality_reason"" label=""Explain your reasoning:""></pl-open-ended>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\VectorEqualityInDifferentOperations\question.html
45,pl-matrix-row,"<pl-matrix-row>
<pl-matrix-cell>{{params.x}}</pl-matrix-cell>
<pl-matrix-cell>{{params.y1}}</pl-matrix-cell>
<pl-matrix-cell>{{params.y2}}</pl-matrix-cell>
<pl-matrix-cell>{{params.y1_plus_y2}}</pl-matrix-cell>
<pl-matrix-cell>{{params.yR}}</pl-matrix-cell>
</pl-matrix-row>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\WaveFunctionSuperposition\question.html
46,pl-matrix-cell,<pl-matrix-cell>{{params.x}}</pl-matrix-cell>,C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\WaveFunctionSuperposition\question.html
47,pl-radio-group,"<pl-radio-group answers-name=""wind_instruments"" weight=""1"">
<pl-answer correct=""true""> The instrument closed at one end </pl-answer>
<pl-answer correct=""false""> The instrument open at both ends </pl-answer>
</pl-radio-group>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\WindInstrumentsFrequencyComparison\question.html
48,pl-drag-drop,"<pl-drag-drop>
<pl-drag-item>Feedwater pump</pl-drag-item>
<pl-drag-item>Boiler</pl-drag-item>
<pl-drag-item>Turbine</pl-drag-item>
<pl-drag-item>Condenser</pl-drag-item>
</pl-drag-drop>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\preclasses_me002\BasicSteamPowerCycle\question.html
49,pl-drag-item,<pl-drag-item>Feedwater pump</pl-drag-item>,C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\preclasses_me002\BasicSteamPowerCycle\question.html
